"Terminal view commands","Terminal view insert","⌥C","Terminal Typing Connected"
"SVN","Show Annotation...","⌃⌥A","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Text Editing","Text End","⇧⌥>","Editing Text"
"Web Page Editor Layout","Vertical Layout","⇧⌘F9","Using Web Page Editor"
"Server","Stop","⌥⌘S","In Servers View"
"Edit","Undo","⌃X U","In Windows"
"File","Save","⌘S","In Windows"
"Text Editing","Page Down","⌃V","Editing Text"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Edit","Select All","⌃X H","In Dialogs and Windows"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"C/C++ Source","Show Source Quick Menu","⌥⌘S","C/C++ Editor"
"View","Zoom In","⌘=","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Edit","Find and Replace","⌘F","In Windows"
"Text Editing","Delete Previous","⌃H","In Windows"
"File","Close All","⌃X ⌃C","In Windows"
"Text Editing","Recenter","⌃L","Editing Text"
"Text Editing","Text End","⌘↘","Editing Text"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Refactor - JavaScript","Rename - Refactoring ","⌥⌘R","JavaScript View"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Database Tools","Execute Selected Text As One Statement","⌥C","Editing SQL"
"Project","Rebuild Last Target","F9","In Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"File","Refresh","F5","In Windows"
"Source","Open Declaration","⌘.","Makefile Editor"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"C/C++ Source","Toggle Source/Header","⌃Tab","C/C++ Editor"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","C/C++ Editor"
"Text Editing","Page Up","Esc V","Editing Text"
"Terminal view commands","Terminal view insert","⌥E","Terminal Typing Connected"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Navigate","Previous","⌃,","In Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Terminal view commands","Terminal view insert","⌥H","Terminal Typing Connected"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"View","Zoom Out","⌘-","In Windows"
"C/C++ Source","Quick Type Hierarchy","⌘T","C/C++ Editor"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Navigate","Open Include Browser","⌥⌘I","C/C++ Editor"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Navigate","Backward History","⌥⌘←","In Windows"
"Search","Declaration in Workspace","⌘G","In Windows"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","C/C++ Editor"
"Edit","Find and Replace","Esc R","In Windows"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Database Tools","Execute All","⌥⌘X","Editing SQL"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"SVN","Show Properties","⌃⌥T","In Windows"
"Run/Debug","Run XSLT Transformation","⌥⌘X X","In Windows"
"Navigate","Show In...","⌥⌘W","In Windows"
"Text Editing","Text Start","⌥<","Editing Text"
"Run/Debug","Run Android Application","⇧⌥A R","In Windows"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"C/C++ Source","Format","⇧⌘F","C/C++ Editor"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Text Editing","Text End","⌃X ]","Editing Text"
"Android Refactorings","Extract Android String","⇧⌥A S","In Windows"
"Text Editing","Next Column","⌃F","Editing Text"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Window","Quick Switch Editor","⌃X B","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Text Editing","Text End","Esc >","Editing Text"
"Spy","Plug-in Menu Spy","⇧⌥F2","In Dialogs and Windows"
"Run/Debug","Debug on Server","⇧⌥D R","In Windows"
"Edit","Paste","⌃Y","In Dialogs and Windows"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"File","Save All","⇧⌘S","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"Run/Debug","Terminate","⌘F2","Debugging"
"Edit","Cut","⌘X","In Dialogs and Windows"
"C/C++ Source","References","⇧⌘G","In C/C++ Views"
"SVN","Commit...","⌃⌥C","In Windows"
"Source","Organize Imports","⇧⌘O","In Windows"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Window","Maximize Active View or Editor","⌥↑","Terminal Widget in Focus"
"Navigate","Open Call Hierarchy","⌃⌥H","C/C++ Editor"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Navigate","Go to Line","⌃X G","Editing Text"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Navigate","Open Include Browser","⌥⌘I","In C/C++ Views"
"Navigate","Activate Task","⌘F9","In Windows"
"Source","Correct Indentation","⌘I","Editing Java Source"
"SVN","Create Patch...","⌃⌥P","In Windows"
"Database Tools","Goto Matching Token","⇧⌘P","Editing SQL"
"Run/Debug","Run to Line","⌘R","Debugging"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"File","Rename","F2","In Windows"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Edit","Find Next","⌘K","Editing Text"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Edit","Select Next Element","⇧⌃↘","Editing Java Source"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Terminal view commands","Terminal view insert","⌥T","Terminal Typing Connected"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"C/C++ Source","Open Element","⇧⌘T","C/C++ Editor"
"Terminal view commands","Terminal view insert","⌥N","Terminal Typing Connected"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Terminal view commands","Terminal view insert","⌥V","Terminal Typing Connected"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Edit","Copy","⌥W","In Dialogs and Windows"
"Reverse Debugging Commands","Reverse Step Into","⇧F5","Debugging C/C++"
"Navigate","Open Type","⇧⌘T","In Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Edit","Select Enclosing Element","⇧⌃↑","Editing XML Source"
"Text Editing","Text End","⌥>","Editing Text"
"C/C++ Source","Declaration","⌘G","C/C++ Editor"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Server","Debug","⌥⌘D","In Servers View"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Database Tools","Edit in SQL Query Builder...","⌥Q","Editing SQL"
"Edit","Undo","F9","In Windows"
"Views","Show View ()","⌥⌘Q D","In Windows"
"ASA 9.x table schema editor","Paste","⌥V","In Windows"
"Navigate","Quick Outline","⌘O","PDE editor"
"Views","Show View ()","⌥⌘Q T","In Windows"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Edit","Select Enclosing Element","⇧⌃⇞","Editing Java Source"
"Window","Activate Editor","⌘F12","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Makefile Source","Uncomment","⌃\","Makefile Editor"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Terminal view commands","Paste","⌘V","Terminal Widget in Focus"
"File","New menu","⌥⌘N","In Windows"
"Views","Show View","⌥⌘Q Q","In Windows"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Source","Format","⇧⌘F","Editing JavaScript Source"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Text Editing","Previous Word","⌥←","Editing Text"
"Text Editing","Scroll Line Down","⌃Z","Editing Text"
"Edit","Restore Last C/C++ Selection","⇧⌃↓","C/C++ Editor"
"Server","Publish","⌥⌘P","In Servers View"
"Run/Debug","Resume","F8","Debugging"
"Edit","Rename","⇧⌥R","Editing JSP Source"
"Run/Debug","Execute","⌘U","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"C/C++ Source","Remove Block Comment","⇧⌘\","C/C++ Editor"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Edit","Select Next Element","⇧⌃→","Editing JavaScript Source"
"Terminal view commands","Paste","⇧⌘V","Terminal Widget in Focus"
"Edit","Word Completion","⌃.","Editing Text"
"Window","Previous View","⇧⌘F7","In Windows"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"C/C++ Source","Back","⌥←","In Macro Expansion Hover"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Refactor - C++","Toggle Function - Refactoring ","⌥⌘T","C/C++ Editor"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Edit","Content Assist","⌘/","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"C/C++ Source","Surround With Quick Menu","⌥⌘Z","C/C++ Editor"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"JavaScript Debug","Evaluate","⇧⌥E","Editing JavaScript Source"
"Text Editing","Line Up","⌃P","Editing Text"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"File","Print","⌘P","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"SVN","Lock...","⌃⌥K","In Windows"
"File","Properties","⌘I","In Windows"
"C/C++ Source","Organize Includes","⇧⌘O","C/C++ Editor"
"Navigate","Open Task","⌥⌘F12","In Windows"
"File","Print","Esc F9","In Windows"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"プロパティエディタ","コメントの切り替え","⌃/","プロパティエディタ"
"Edit","Incremental Find","⌘J","Editing Text"
"Text Editing","Cut to End of Line","⌃K","Editing Text"
"Text Editing","Swap Mark","⌃X ⌃X","Editing Text"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Project","Build All","⌘B","In Windows"
"Text Editing","Next Word","Esc F","Editing Text"
"Text Editing","Delete Next","⌃D","Editing Text"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Navigate","Last Edit Location","⌃Q","In Windows"
"C/C++ Source","Toggle Source/Header","⌘Tab","C/C++ Editor"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"C/C++ Source","Sort Lines","⌃⌘S","C/C++ Editor"
"Navigate","Next","⌃.","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Source","Format","⇧⌘F","Editing Java Source"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"SQL Results View","Remove All Visible Results","⇧⌦","In Windows"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Window","Quick Switch Editor","⌘E","In Windows"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Text Editing","Delete Previous Word","Esc ⌫","Editing Text"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Navigate","Open Type in Hierarchy","⇧⌘H","In C/C++ Views"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥D","Terminal Typing Connected"
"Run/Debug","Debug","⌘F11","In Windows"
"Refactor - C++","Extract Function - Refactoring ","⌥⌘M","C/C++ Editor"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Project","Make Target Build","⇧F9","In Windows"
"Edit","Cut","⌃W","In Dialogs and Windows"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"File","Close","⌃X K","In Windows"
"Window","Next View","⌘F7","In Windows"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Terminal view commands","Copy","⇧⌘C","Terminal Widget in Focus"
"Text Editing","Line Start","⌃A","Editing Text"
